,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
40581,2017-10-11,India,Macau,4,1,AFC Asian Cup qualification,Bangalore,India,False
40659,2017-11-14,India,Myanmar,2,2,AFC Asian Cup qualification,Margao,India,False
40981,2018-06-01,India,Taiwan,5,0,Intercontinental Cup,Mumbai,India,False
40996,2018-06-02,Kenya,New Zealand,2,1,Intercontinental Cup,Mumbai,India,True
41026,2018-06-04,India,Kenya,3,0,Intercontinental Cup,Mumbai,India,False
41033,2018-06-05,Taiwan,New Zealand,0,1,Intercontinental Cup,Mumbai,India,True
41055,2018-06-07,India,New Zealand,1,2,Intercontinental Cup,Mumbai,India,False
41068,2018-06-08,Taiwan,Kenya,0,4,Intercontinental Cup,Mumbai,India,True
41089,2018-06-10,India,Kenya,2,0,Intercontinental Cup,Mumbai,India,False
42188,2019-07-07,India,Tajikistan,2,4,Intercontinental Cup,Ahmedabad,India,False
42195,2019-07-08,Syria,North Korea,5,2,Intercontinental Cup,Ahmedabad,India,True
42202,2019-07-10,Tajikistan,Syria,2,0,Intercontinental Cup,Ahmedabad,India,True
42209,2019-07-13,India,North Korea,2,5,Intercontinental Cup,Ahmedabad,India,False
42216,2019-07-15,North Korea,Tajikistan,1,0,Intercontinental Cup,Ahmedabad,India,True
42217,2019-07-16,India,Syria,1,1,Intercontinental Cup,Ahmedabad,India,False
42225,2019-07-19,Tajikistan,North Korea,0,1,Intercontinental Cup,Ahmedabad,India,True
42280,2019-09-05,India,Oman,1,2,FIFA World Cup qualification,Guwahati,India,False
42578,2019-10-15,India,Bangladesh,1,1,FIFA World Cup qualification,Kolkota,India,False
44686,2022-06-08,Hong Kong,Afghanistan,2,1,AFC Asian Cup qualification,Kolkota,India,True
44687,2022-06-08,India,Cambodia,2,0,AFC Asian Cup qualification,Kolkota,India,False
44750,2022-06-11,Cambodia,Hong Kong,0,3,AFC Asian Cup qualification,Kolkota,India,True
44751,2022-06-11,India,Afghanistan,2,1,AFC Asian Cup qualification,Kolkota,India,False
44810,2022-06-14,Afghanistan,Cambodia,2,2,AFC Asian Cup qualification,Kolkota,India,True
44811,2022-06-14,India,Hong Kong,4,0,AFC Asian Cup qualification,Kolkota,India,False
45194,2023-03-22,India,Myanmar,1,0,Tri Nation Tournament,Imphal,India,False
45267,2023-03-25,Myanmar,Kyrgyzstan,1,1,Tri Nation Tournament,Imphal,India,True
45333,2023-03-28,India,Kyrgyzstan,2,0,Tri Nation Tournament,Imphal,India,False
45531,2023-06-21,Kuwait,Nepal,3,1,SAFF Cup,Bengaluru,India,True
45532,2023-06-21,India,Pakistan,4,0,SAFF Cup,Bengaluru,India,False
45533,2023-06-22,Lebanon,Bangladesh,2,0,SAFF Cup,Bengaluru,India,True
45534,2023-06-22,Maldives,Bhutan,2,0,SAFF Cup,Bengaluru,India,True
45535,2023-06-24,Pakistan,Kuwait,0,4,SAFF Cup,Bengaluru,India,True
45536,2023-06-24,India,Nepal,2,0,SAFF Cup,Bengaluru,India,False
45538,2023-06-25,Bangladesh,Maldives,3,1,SAFF Cup,Bengaluru,India,True
45539,2023-06-25,Bhutan,Lebanon,1,4,SAFF Cup,Bengaluru,India,True
45545,2023-06-27,Nepal,Pakistan,1,0,SAFF Cup,Bengaluru,India,True
45546,2023-06-27,India,Kuwait,1,1,SAFF Cup,Bengaluru,India,False
45549,2023-06-28,Lebanon,Maldives,1,0,SAFF Cup,Bengaluru,India,True
45550,2023-06-28,Bhutan,Bangladesh,1,3,SAFF Cup,Bengaluru,India,True
45559,2023-07-01,India,Lebanon,0,0,SAFF Cup,Bengaluru,India,False
45560,2023-07-01,Kuwait,Bangladesh,1,0,SAFF Cup,Bengaluru,India,True
45568,2023-07-04,India,Kuwait,1,1,SAFF Cup,Bengaluru,India,False
46096,2023-11-21,India,Qatar,0,3,FIFA World Cup qualification,Bhubaneswar,India,False
46400,2024-03-26,India,Afghanistan,1,2,FIFA World Cup qualification,Guwahati,India,False
